dataset,backbone,horizon,seed,method,status,n_test_samples,mse,mae,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,win_rate_vs_lrbn,harm_rate_vs_lrbn,coverage,mean_strength,test_threshold_leakage,comparison_scope,blocker_reason
ETTh1,DLinear,96,2026,raw_no_correction,completed,96,8.828207131934626,2.2619401772315544,0.0,0.0,66.73610265299502,28.03856412655393,0.23958333333333334,0.7604166666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,192,2026,raw_no_correction,completed,96,10.958442018326318,2.542668017471159,0.0,0.0,61.836191671036914,25.908614968757682,0.22916666666666666,0.7708333333333334,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,96,2026,raw_no_correction,completed,96,5.8298080218054125,1.8624278713271292,0.0,0.0,0.43970060336189765,0.48852417153250277,0.4791666666666667,0.5208333333333334,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,192,2026,raw_no_correction,completed,96,7.270392972436926,2.0971483646654243,0.0,0.0,0.38767926167807354,0.12758103596730994,0.4375,0.5625,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,96,2026,raw_no_correction,completed,96,4.785306744021491,1.6702877843692487,0.0,0.0,69.82769043176226,31.10586239791498,0.25,0.75,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,raw_no_correction,completed,96,6.45562024879166,1.9605102455648862,0.0,0.0,61.60469970787103,27.46685918792846,0.22916666666666666,0.7708333333333334,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,raw_no_correction,completed,96,3.065950966984565,1.3372358446391146,0.0,0.0,1.7517274711491404,0.7616997301631708,0.5,0.5,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,raw_no_correction,completed,96,4.224036328058323,1.5870433400054018,0.0,0.0,0.21406714885647246,0.1792394547950844,0.5,0.5,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,96,2026,HalluGuard-LRBN,completed,96,5.294718415187439,1.7666085156934137,-40.0249865452857,-21.898530585551143,0.0,0.0,0.0,0.0,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,192,2026,HalluGuard-LRBN,completed,96,6.7713172839613245,2.0194551565052357,-38.20912432043064,-20.57731710827453,0.0,0.0,0.0,0.0,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,96,2026,HalluGuard-LRBN,completed,96,5.8042865388731295,1.8533736928487337,-0.4377757009633899,-0.48614921510698955,0.0,0.0,0.0,0.0,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,192,2026,HalluGuard-LRBN,completed,96,7.242316015180876,2.0944762102183376,-0.38618211371090627,-0.12741847415796545,0.0,0.0,0.0,0.0,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,96,2026,HalluGuard-LRBN,completed,96,2.8177423433450954,1.2739993115635848,-41.116787406244235,-23.72576010636857,0.0,0.0,0.0,0.0,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,HalluGuard-LRBN,completed,96,3.994698335172625,1.5380548779931642,-38.120611479265385,-21.54823564565374,0.0,0.0,0.0,0.0,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,HalluGuard-LRBN,completed,96,3.013168467192729,1.3271271209399849,-1.721570252107836,-0.755941724090582,0.0,0.0,0.0,0.0,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,HalluGuard-LRBN,completed,96,4.215013369115137,1.5842038217125196,-0.2136098802760897,-0.17891876178194036,0.0,0.0,0.0,0.0,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,96,2026,matched_sparse_smoothing,completed,96,8.4386866568446,2.1960124937890626,-4.4122262795687375,-2.9146519481851723,59.37932851421086,24.306685622811,0.25,0.75,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,192,2026,matched_sparse_smoothing,completed,96,10.527490557750108,2.4818345973057725,-3.9325978990030754,-2.3925034549286264,55.47182499755512,22.896247005577372,0.23958333333333334,0.7604166666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,96,2026,matched_sparse_smoothing,completed,96,5.732756326101189,1.8453183275911458,-1.6647494281321347,-0.9186687978301291,-1.2323687380501978,-0.4346325454313537,0.5416666666666666,0.4583333333333333,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,192,2026,matched_sparse_smoothing,completed,96,7.16474891642659,2.080494138542752,-1.4530721573212424,-0.7941367622467465,-1.0710261550543216,-0.6675688941877082,0.5208333333333334,0.4791666666666667,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,96,2026,matched_sparse_smoothing,completed,96,4.440616912377397,1.5877614637120228,-7.203087494331665,-4.940844411931146,57.5948533003597,24.62812572191346,0.3645833333333333,0.6354166666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,matched_sparse_smoothing,completed,96,6.260261355143914,1.923517251035699,-3.0261831724733503,-1.886906462889175,56.71424547938535,25.061678783869596,0.2708333333333333,0.7291666666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,matched_sparse_smoothing,completed,96,3.0315561236814097,1.3283134366330296,-1.121832790984653,-0.6672277027158413,0.6102432269844501,0.08938975583616902,0.5625,0.4375,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,matched_sparse_smoothing,completed,96,4.183683571605104,1.5785875513785808,-0.9553127226952192,-0.532801368032391,-0.7432905845468835,-0.3545169035045086,0.5729166666666666,0.4270833333333333,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,96,2026,naive_smoothing,completed,96,8.392580602989073,2.189610151080729,-4.934484685680909,-3.1976984572297606,58.50853520208177,23.94427693681997,0.2604166666666667,0.7395833333333334,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,192,2026,naive_smoothing,completed,96,10.46181311949352,2.469990977937283,-4.531929794419833,-2.858298410742961,54.501889082542796,22.309771028117208,0.23958333333333334,0.7604166666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,96,2026,naive_smoothing,completed,96,5.483760198842489,1.7965491442252606,-5.935835651337579,-3.5372498509104324,-5.522234953149184,-3.0660059999071247,0.8020833333333334,0.19791666666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,192,2026,naive_smoothing,completed,96,6.8891666831070095,2.034052537657335,-5.243544479303195,-3.0086486998799136,-4.8761933521482455,-2.8849061290925273,0.8541666666666666,0.14583333333333334,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,96,2026,naive_smoothing,completed,96,4.290674375315132,1.561654943701172,-10.33648196793702,-6.503839738553483,52.27348183371926,22.578947219706137,0.40625,0.59375,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,naive_smoothing,completed,96,6.120344518209042,1.8985899175634764,-5.19354791114489,-3.158378189629759,53.21168220188092,23.44097370833085,0.3020833333333333,0.6979166666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,naive_smoothing,completed,96,2.8862199324888755,1.2939320457237413,-5.86216271659427,-3.238306772058408,-4.213124360155174,-2.5012732158398614,0.7916666666666666,0.20833333333333334,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,naive_smoothing,completed,96,4.051993554994934,1.5496703724875218,-4.0729472878949275,-2.3548800827159035,-3.867598981172079,-2.1798615021421575,0.8958333333333334,0.10416666666666667,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,96,2026,ema_smoothing,completed,96,8.311265959865645,2.179377865338542,-5.855562339480799,-3.6500661124480374,56.972766219728186,23.365071886505532,0.2708333333333333,0.7291666666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,192,2026,ema_smoothing,completed,96,10.465019070684464,2.471118453578559,-4.502674256218486,-2.8139561830699624,54.54923513142072,22.36560171282657,0.23958333333333334,0.7604166666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,96,2026,ema_smoothing,completed,96,5.513273753784141,1.806396864448785,-5.429583046942103,-3.008492717540122,-5.013756352997644,-2.5346657601315976,0.7708333333333334,0.22916666666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,192,2026,ema_smoothing,completed,96,6.9001795037813265,2.0369544625336373,-5.09206957669385,-2.870273898878944,-4.724131212754838,-2.746354788086923,0.8333333333333334,0.16666666666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,96,2026,ema_smoothing,completed,96,4.271442174730066,1.5585954141503908,-10.738383070914155,-6.687013535273471,51.59094247271341,22.338795633829392,0.3958333333333333,0.6041666666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,ema_smoothing,completed,96,6.087110409166958,1.891547504238824,-5.708356833622935,-3.517591478138729,52.379726788640944,22.983095811682794,0.3125,0.6875,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,ema_smoothing,completed,96,2.8802861790939924,1.2925680926182725,-6.055699842881621,-3.3403047188630604,-4.410051729450573,-2.6040480807300974,0.7916666666666666,0.20833333333333334,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,ema_smoothing,completed,96,4.055319269096505,1.5492091294059247,-3.994214203156071,-2.383943125291367,-3.788697354763516,-2.2089766371566797,0.875,0.125,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,96,2026,median_smoothing,completed,96,8.569271152950448,2.217263611343316,-2.933052828444515,-1.9751435664801469,61.845644678093194,25.50961866459474,0.25,0.75,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,192,2026,median_smoothing,completed,96,10.47413371884405,2.473235191701389,-4.419499584633408,-2.7307074809867715,54.683841852348905,22.470419000598984,0.23958333333333334,0.7604166666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,96,2026,median_smoothing,completed,96,5.475714045298147,1.7969381194813367,-6.07385312145401,-3.5163644645787304,-5.660859286914461,-3.0450185834148744,0.7604166666666666,0.23958333333333334,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,192,2026,median_smoothing,completed,96,6.921358179808851,2.0373402068891058,-4.800769283741146,-2.851880142768617,-4.431701608977147,-2.727937565031997,0.84375,0.15625,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,96,2026,median_smoothing,completed,96,4.417695204734165,1.5903633037076823,-7.682089340386039,-4.785072453349737,56.781375528080055,24.832351891585738,0.375,0.625,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,median_smoothing,completed,96,6.217099734435248,1.9154055658165146,-3.6947730065290076,-2.3006602414032526,55.63377288578235,24.534279837626322,0.3020833333333333,0.6979166666666666,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,median_smoothing,completed,96,2.9007448894047876,1.2997341355045575,-5.3884122531224765,-2.80441997459691,-3.731075079670049,-2.064081503812886,0.75,0.25,0.0,0.0,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,median_smoothing,completed,96,4.063417271206958,1.5524170860291884,-3.8025017868432798,-2.1818089716487363,-3.5965745451471194,-2.0064801793591056,0.8854166666666666,0.11458333333333333,0.0,0.0,False,sample_aligned_compact_pilot,
ETTh1,DLinear,96,2026,LRBN-SRA-BP-safe,completed,96,5.188084968146783,1.7469307389634061,-41.23285860183175,-22.768481830419297,-2.0139587921194577,-1.1138730825302685,0.11458333333333333,0.010416666666666666,0.125,0.09375,False,sample_aligned_compact_pilot,
ETTh1,DLinear,192,2026,LRBN-SRA-BP-safe,completed,96,6.686739962120147,2.003434686299547,-38.98092492584267,-21.20738246071546,-1.2490527070928457,-0.7933065586563959,0.0625,0.010416666666666666,0.07291666666666667,0.0546875,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,96,2026,LRBN-SRA-BP-safe,completed,96,5.734529868564924,1.8388803361286274,-1.6343274578528157,-1.2643461559512408,-1.201813002184006,-0.7819986210024018,0.11458333333333333,0.03125,0.14583333333333334,0.109375,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,192,2026,LRBN-SRA-BP-safe,completed,96,7.217988450611034,2.089549526069066,-0.7207935255296047,-0.3623414882984224,-0.3359086308695277,-0.23522273135562294,0.07291666666666667,0.03125,0.10416666666666667,0.078125,False,sample_aligned_compact_pilot,
ETTm1,DLinear,96,2026,LRBN-SRA-BP-safe,completed,96,2.6928010429757467,1.234580511660631,-43.72772348730983,-26.08576059681195,-4.434092445123273,-3.0940989955908234,0.22916666666666666,0.0,0.22916666666666666,0.171875,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,LRBN-SRA-BP-safe,completed,96,3.940405316053798,1.5184772168994483,-38.961630886021545,-22.546835940551205,-1.359126886773219,-1.2728844317471895,0.17708333333333334,0.052083333333333336,0.22916666666666666,0.171875,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-safe,completed,96,2.9052281671338314,1.295809853054107,-5.242184287400907,-3.0978822285575607,-3.582285598502432,-2.3597790589700853,0.20833333333333334,0.03125,0.23958333333333334,0.1796875,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-safe,completed,96,4.139411672336638,1.559940769275504,-2.0034073845327094,-1.707739798069309,-1.7936288727442857,-1.5315612867776027,0.23958333333333334,0.11458333333333333,0.3541666666666667,0.265625,False,sample_aligned_compact_pilot,
ETTh1,DLinear,96,2026,LRBN-SRA-BP-balanced,completed,96,5.092716103615506,1.7166752436703696,-42.313133034748994,-24.10607225821097,-3.8151662795224155,-2.8265046601689483,0.3645833333333333,0.0625,0.4270833333333333,0.3203125,False,sample_aligned_compact_pilot,
ETTh1,DLinear,192,2026,LRBN-SRA-BP-balanced,completed,96,6.647688769334823,1.9897684724907496,-39.33728208610335,-21.744857810029202,-1.825767564005783,-1.470034326775821,0.23958333333333334,0.11458333333333333,0.3541666666666667,0.265625,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,96,2026,LRBN-SRA-BP-balanced,completed,96,5.656138297549248,1.8207390890575013,-2.9789955965368433,-2.2384105667350718,-2.5523936547870423,-1.7608215718792075,0.2708333333333333,0.0625,0.3333333333333333,0.25,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,192,2026,LRBN-SRA-BP-balanced,completed,96,7.1765952399686865,2.079197176348409,-1.2901329106119392,-0.8559808461558565,-0.907455226676392,-0.7294918794197538,0.21875,0.10416666666666667,0.3229166666666667,0.2421875,False,sample_aligned_compact_pilot,
ETTm1,DLinear,96,2026,LRBN-SRA-BP-balanced,completed,96,2.6497538254477084,1.2128107388684082,-44.627294190521496,-27.389115204079868,-5.961812594188404,-4.802873293552381,0.5,0.052083333333333336,0.5520833333333334,0.4140625,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,LRBN-SRA-BP-balanced,completed,96,3.9061928594973883,1.5075104402520072,-39.4915947816334,-23.10621973730742,-2.215573448836902,-1.9859133882785225,0.375,0.19791666666666666,0.5729166666666666,0.4296875,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-balanced,completed,96,2.878273894125695,1.2840796064446778,-6.121333148500856,-3.975083259059853,-4.476834751714564,-3.2436617273547026,0.3541666666666667,0.052083333333333336,0.40625,0.3046875,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-balanced,completed,96,4.128501115461629,1.5542358612560612,-2.26170433151995,-2.0672074871760153,-2.052478748641526,-1.8916732838104282,0.3333333333333333,0.1875,0.5208333333333334,0.390625,False,sample_aligned_compact_pilot,
