variant,selected_expert,n,mean_selected_delta_vs_lrbn,selected_harm_rate,selected_win_rate
SafeTAE-pairwise-hard,amplitude_scale_bounded,206,-0.096195433534197,0.0048543689320388345,0.9951456310679612
SafeTAE-pairwise-hard,ensemble_median,3,0.0,0.0,0.0
SafeTAE-pairwise-hard,keep_lrbn,348,0.0,0.0,0.0
SafeTAE-pairwise-hard,level_bias_bounded,1,-0.1728870386106689,0.0,1.0
SafeTAE-pairwise-hard,level_bias_light,4,-0.3852098312608667,0.25,0.75
SafeTAE-pairwise-hard,mrc_ridge_abstain,8,-0.1686788384834972,0.375,0.625
SafeTAE-pairwise-hard,mrc_ridge_residual_blend,4,2.0060550127745937,1.0,0.0
SafeTAE-pairwise-hard,sra_balanced,6,-0.2274509460870505,0.0,1.0
SafeTAE-pairwise-hard,sra_basic_ablation,15,-1.033247195982757,0.13333333333333333,0.8666666666666667
SafeTAE-pairwise-hard,sra_safe,14,-0.4636602031423727,0.0,0.9285714285714286
SafeTAE-pairwise-hard,stage3_gated_bp,3,-0.03904928031588214,0.6666666666666666,0.3333333333333333
SafeTAE-pairwise-hard,volatility_shrink,156,-0.23303039281444735,0.00641025641025641,0.9935897435897436
SafeTAE-pairwise-blend,amplitude_scale_bounded,206,-0.096195433534197,0.0048543689320388345,0.9951456310679612
SafeTAE-pairwise-blend,ensemble_median,3,0.0,0.0,0.0
SafeTAE-pairwise-blend,keep_lrbn,348,0.0,0.0,0.0
SafeTAE-pairwise-blend,level_bias_bounded,1,-0.1728870386106689,0.0,1.0
SafeTAE-pairwise-blend,level_bias_light,4,-0.3852098312608667,0.25,0.75
SafeTAE-pairwise-blend,mrc_ridge_abstain,8,-0.1686788384834972,0.375,0.625
SafeTAE-pairwise-blend,mrc_ridge_residual_blend,4,2.0060550127745937,1.0,0.0
SafeTAE-pairwise-blend,sra_balanced,6,-0.2274509460870505,0.0,1.0
SafeTAE-pairwise-blend,sra_basic_ablation,15,-1.033247195982757,0.13333333333333333,0.8666666666666667
SafeTAE-pairwise-blend,sra_safe,14,-0.4636602031423727,0.0,0.9285714285714286
SafeTAE-pairwise-blend,stage3_gated_bp,3,-0.03904928031588214,0.6666666666666666,0.3333333333333333
SafeTAE-pairwise-blend,volatility_shrink,156,-0.23303039281444735,0.00641025641025641,0.9935897435897436
SafeTAE-tiered-blend,amplitude_scale_bounded,206,-0.096195433534197,0.0048543689320388345,0.9951456310679612
SafeTAE-tiered-blend,ensemble_median,3,0.0,0.0,0.0
SafeTAE-tiered-blend,keep_lrbn,348,0.0,0.0,0.0
SafeTAE-tiered-blend,level_bias_bounded,1,-0.1728870386106689,0.0,1.0
SafeTAE-tiered-blend,level_bias_light,4,-0.3852098312608667,0.25,0.75
SafeTAE-tiered-blend,mrc_ridge_abstain,8,-0.1686788384834972,0.375,0.625
SafeTAE-tiered-blend,mrc_ridge_residual_blend,4,2.0060550127745937,1.0,0.0
SafeTAE-tiered-blend,sra_balanced,6,-0.2274509460870505,0.0,1.0
SafeTAE-tiered-blend,sra_basic_ablation,15,-1.033247195982757,0.13333333333333333,0.8666666666666667
SafeTAE-tiered-blend,sra_safe,14,-0.4636602031423727,0.0,0.9285714285714286
SafeTAE-tiered-blend,stage3_gated_bp,3,-0.03904928031588214,0.6666666666666666,0.3333333333333333
SafeTAE-tiered-blend,volatility_shrink,156,-0.23303039281444735,0.00641025641025641,0.9935897435897436
SafeTAE-mrc-consistency,amplitude_scale_bounded,166,-0.10210155293759836,0.006024096385542169,0.9939759036144579
SafeTAE-mrc-consistency,ensemble_median,3,0.0,0.0,0.0
SafeTAE-mrc-consistency,keep_lrbn,369,0.0,0.0,0.0
SafeTAE-mrc-consistency,level_bias_bounded,1,-0.1728870386106689,0.0,1.0
SafeTAE-mrc-consistency,level_bias_light,4,-0.3852098312608667,0.25,0.75
SafeTAE-mrc-consistency,mrc_ridge_abstain,8,-0.1686788384834972,0.375,0.625
SafeTAE-mrc-consistency,mrc_ridge_residual_blend,4,2.0060550127745937,1.0,0.0
SafeTAE-mrc-consistency,sra_balanced,7,-0.21202750980711443,0.0,1.0
SafeTAE-mrc-consistency,sra_basic_ablation,16,-0.7328442618808035,0.1875,0.8125
SafeTAE-mrc-consistency,sra_safe,14,-0.4636602031423727,0.0,0.9285714285714286
SafeTAE-mrc-consistency,stage3_gated_bp,3,-0.03904928031588214,0.6666666666666666,0.3333333333333333
SafeTAE-mrc-consistency,volatility_shrink,173,-0.23355003841333521,0.005780346820809248,0.9942196531791907
SafeTAE-safe,amplitude_scale_bounded,166,-0.10210155293759836,0.006024096385542169,0.9939759036144579
SafeTAE-safe,ensemble_median,3,0.0,0.0,0.0
SafeTAE-safe,keep_lrbn,369,0.0,0.0,0.0
SafeTAE-safe,level_bias_bounded,1,-0.1728870386106689,0.0,1.0
SafeTAE-safe,level_bias_light,4,-0.3852098312608667,0.25,0.75
SafeTAE-safe,mrc_ridge_abstain,8,-0.1686788384834972,0.375,0.625
SafeTAE-safe,mrc_ridge_residual_blend,4,2.0060550127745937,1.0,0.0
SafeTAE-safe,sra_balanced,7,-0.21202750980711443,0.0,1.0
SafeTAE-safe,sra_basic_ablation,16,-0.7328442618808035,0.1875,0.8125
SafeTAE-safe,sra_safe,14,-0.4636602031423727,0.0,0.9285714285714286
SafeTAE-safe,stage3_gated_bp,3,-0.03904928031588214,0.6666666666666666,0.3333333333333333
SafeTAE-safe,volatility_shrink,173,-0.23355003841333521,0.005780346820809248,0.9942196531791907
SafeTAE-balanced,amplitude_scale_bounded,166,-0.10210155293759836,0.006024096385542169,0.9939759036144579
SafeTAE-balanced,ensemble_median,3,0.0,0.0,0.0
SafeTAE-balanced,keep_lrbn,369,0.0,0.0,0.0
SafeTAE-balanced,level_bias_bounded,1,-0.1728870386106689,0.0,1.0
SafeTAE-balanced,level_bias_light,4,-0.3852098312608667,0.25,0.75
SafeTAE-balanced,mrc_ridge_abstain,8,-0.1686788384834972,0.375,0.625
SafeTAE-balanced,mrc_ridge_residual_blend,4,2.0060550127745937,1.0,0.0
SafeTAE-balanced,sra_balanced,7,-0.21202750980711443,0.0,1.0
SafeTAE-balanced,sra_basic_ablation,16,-0.7328442618808035,0.1875,0.8125
SafeTAE-balanced,sra_safe,14,-0.4636602031423727,0.0,0.9285714285714286
SafeTAE-balanced,stage3_gated_bp,3,-0.03904928031588214,0.6666666666666666,0.3333333333333333
SafeTAE-balanced,volatility_shrink,173,-0.23355003841333521,0.005780346820809248,0.9942196531791907
